,topic,argument,key_point,stance,label
0,Assisted suicide should be a criminal offence,`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,-1,0
1,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0
2,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,1,0
3,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,1,1
4,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,1,0
5,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,1,0
6,Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,1,0
7,Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,-1,0
8,Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,-1,0
9,Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,-1,1
10,Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide gives dignity to the person that wants to commit it,-1,0
11,Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide reduces suffering,-1,1
12,Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",The terminally ill would benefit from assisted suicide,-1,0
13,Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,Assisted suicide reduces suffering,-1,0
14,Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,People should have the freedom to choose to end their life,-1,1
15,Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,The terminally ill would benefit from assisted suicide,-1,0
16,Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,Assisted suicide gives dignity to the person that wants to commit it,-1,0
17,Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,Assisted suicide reduces suffering,-1,0
18,Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,People should have the freedom to choose to end their life,-1,1
19,Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,The terminally ill would benefit from assisted suicide,-1,0
